name,size
java.awt.GraphicsDevice,44507.0
java.awt.GraphicsDevice.WindowTranslucency,18178.0
java.awt.GraphicsEnvironment,38072.0
java.awt.GridBagConstraints,63382.0
java.awt.GridBagLayout,81065.0
java.awt.GridBagLayoutInfo,8967.0
java.awt.GridLayout,34859.0
java.awt.HeadlessException,14846.0
java.awt.IllegalComponentStateException,13284.0
java.awt.im,
java.awt.im.InputContext,32794.0
java.awt.im.InputMethodHighlight,27228.0
java.awt.im.InputMethodRequests,23531.0
java.awt.im.InputSubset,18747.0
java.awt.im.spi,
java.awt.im.spi.InputMethod,35830.0
java.awt.im.spi.InputMethodContext,20724.0
java.awt.im.spi.InputMethodDescriptor,17192.0
java.awt.image,
java.awt.image.AffineTransformOp,41512.0
java.awt.image.AreaAveragingScaleFilter,27082.0
java.awt.image.BandCombineOp,24474.0
java.awt.image.BandedSampleModel,67287.0
java.awt.image.BufferedImage,117529.0
java.awt.image.BufferedImageFilter,32578.0
java.awt.image.BufferedImageOp,19623.0
java.awt.image.BufferStrategy,22211.0
java.awt.image.ByteLookupTable,19551.0
java.awt.image.ColorConvertOp,40469.0
java.awt.image.ColorModel,119759.0
java.awt.image.ComponentColorModel,108414.0
java.awt.image.ComponentSampleModel,87415.0
java.awt.image.ConvolveOp,38414.0
java.awt.image.CropImageFilter,26776.0
java.awt.image.DataBuffer,49439.0
java.awt.image.DataBufferByte,31390.0
java.awt.image.DataBufferDouble,43884.0
java.awt.image.DataBufferFloat,43747.0
java.awt.image.DataBufferInt,31231.0
java.awt.image.DataBufferShort,31300.0
java.awt.image.DataBufferUShort,31664.0
java.awt.image.DirectColorModel,81039.0
java.awt.image.FilteredImageSource,23585.0
java.awt.image.ImageConsumer,31657.0
java.awt.image.ImageFilter,36999.0
java.awt.image.ImageObserver,34988.0
java.awt.image.ImageProducer,17667.0
java.awt.image.ImagingOpException,12640.0
java.awt.image.IndexColorModel,92728.0
java.awt.image.Kernel,17723.0
java.awt.image.LookupOp,32964.0
java.awt.image.LookupTable,15858.0
java.awt.image.MemoryImageSource,47763.0
java.awt.image.MultiPixelPackedSampleModel,65208.0
java.awt.image.PackedColorModel,38686.0
java.awt.image.PixelGrabber,48340.0
java.awt.image.PixelInterleavedSampleModel,30384.0
java.awt.image.Raster,131595.0
java.awt.image.RasterFormatException,12532.0
java.awt.image.RasterOp,18107.0
java.awt.image.renderable,
java.awt.image.renderable.ContextualRenderedImageFactory,21353.0
java.awt.image.renderable.ParameterBlock,73850.0
java.awt.image.renderable.RenderableImage,25483.0
java.awt.image.renderable.RenderableImageOp,36003.0
java.awt.image.renderable.RenderableImageProducer,24271.0
java.awt.image.renderable.RenderContext,32763.0
java.awt.image.renderable.RenderedImageFactory,11529.0
java.awt.image.RenderedImage,29521.0
java.awt.image.ReplicateScaleFilter,32694.0
java.awt.image.RescaleOp,36190.0
java.awt.image.RGBImageFilter,38141.0
java.awt.image.SampleModel,109135.0
java.awt.image.ShortLookupTable,19011.0
java.awt.image.SinglePixelPackedSampleModel,68541.0
java.awt.image.TileObserver,10285.0
java.awt.image.VolatileImage,38925.0
java.awt.image.WritableRaster,67652.0
java.awt.image.WritableRenderedImage,20924.0
java.awt.Image,37549.0
java.awt.ImageCapabilities,17138.0
java.awt.Insets,22296.0
java.awt.ItemSelectable,13609.0
java.awt.JobAttributes.DefaultSelectionType,18396.0
java.awt.JobAttributes.DestinationType,17182.0
java.awt.JobAttributes.DialogType,18002.0
java.awt.JobAttributes,68107.0
java.awt.JobAttributes.MultipleDocumentHandlingType,18187.0
java.awt.JobAttributes.SidesType,19111.0
java.awt.KeyboardFocusManager,145590.0
java.awt.KeyEventDispatcher,13528.0
java.awt.KeyEventPostProcessor,13875.0
java.awt.Label.AccessibleAWTLabel,26329.0
java.awt.Label,50529.0
java.awt.LayoutManager,19022.0
java.awt.LayoutManager2,17078.0
java.awt.LinearGradientPaint,40323.0
java.awt.List.AccessibleAWTList.AccessibleAWTListChild,84729.0
java.awt.List.AccessibleAWTList,47598.0
java.awt.List,114890.0
java.awt.MediaTracker,52770.0
java.awt.Menu.AccessibleAWTMenu,27423.0
java.awt.Menu,41143.0
java.awt.MenuBar.AccessibleAWTMenuBar,25126.0
java.awt.MenuBar,32622.0
java.awt.MenuComponent.AccessibleAWTMenuComponent,90138.0
java.awt.MenuComponent,29415.0
java.awt.MenuContainer,20962.0
java.awt.MenuItem.AccessibleAWTMenuItem,41844.0
java.awt.MenuItem,51483.0
java.awt.MenuShortcut,22480.0
java.awt.MouseInfo,13634.0
java.awt.MultipleGradientPaint.ColorSpaceType,16667.0
java.awt.MultipleGradientPaint.CycleMethod,17204.0
java.awt.MultipleGradientPaint,19326.0
java.awt.PageAttributes.ColorType,16967.0
java.awt.PageAttributes,49798.0
